Depart date,Return date,Outbound Origin,Outbound Destination,Outbound Departure time,Outbound Arrival time,Outbound Duration,Return Origin,Return Destination,Return Departure time,Return Arrival time,Return Duration,Price
2024-11-07,2025-01-15,LHR,ICN,21:00,20:45,14 hours 45 minutes,ICN,LGW,18:25,06:30,21 hours 5 minutes,£582.35
2024-11-07,2025-01-15,LGW,ICN,17:00,20:45,18 hours 45 minutes,ICN,LGW,18:25,06:30,21 hours 5 minutes,£553.73
2024-11-08,2025-01-15,LHR,ICN,20:10,16:05,10 hours 55 minutes,ICN,LHR,14:30,18:00,12 hours 30 minutes,£845.90
2024-11-08,2025-01-15,LHR,ICN,18:50,16:15,12 hours 25 minutes,ICN,LHR,10:40,16:30,14 hours 50 minutes,£871.39
2024-11-08,2025-01-15,LHR,ICN,21:00,20:45,14 hours 45 minutes,ICN,LGW,18:25,06:30,21 hours 5 minutes,£582.35
2024-11-08,2025-01-15,LHR,ICN,17:40,16:50,14 hours 10 minutes,ICN,LHR,10:40,17:50,16 hours 10 minutes,£689.52
2024-11-08,2025-01-15,LGW,ICN,17:00,20:45,18 hours 45 minutes,ICN,LGW,18:25,06:30,21 hours 5 minutes,£553.73
2024-11-08,2025-01-15,LHR,ICN,09:00,10:10,16 hours 10 minutes,ICN,LHR,12:15,21:25,18 hours 10 minutes,£722.89
2024-11-08,2025-01-15,LHR,ICN,21:30,22:00,15 hours 30 minutes,ICN,LHR,10:40,17:50,16 hours 10 minutes,£633.55
2024-11-08,2025-01-15,LHR,ICN,21:00,20:45,14 hours 45 minutes,ICN,LHR,10:40,17:50,16 hours 10 minutes,£653.43
2024-11-08,2025-01-15,LGW,ICN,05:55,09:05,18 hours 10 minutes,ICN,LHR,09:35,21:05,20 hours 30 minutes,£647.90
2024-11-08,2025-01-15,LHR,ICN,20:25,21:45,16 hours 20 minutes,ICN,LHR,10:40,17:50,16 hours 10 minutes,£708.70
2024-11-09,2025-01-15,LGW,ICN,10:30,11:55,16 hours 25 minutes,ICN,LGW,16:20,14:00,30 hours 40 minutes,£415.79
2024-11-09,2025-01-15,LHR,ICN,20:10,16:05,10 hours 55 minutes,ICN,LHR,14:30,18:00,12 hours 30 minutes,£845.90
